month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
Mar-2005,Uno-Ciclo (Brazil),Glenmark Pharma,Pharma,4.6,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
NA,SKS Microfinance,Sequoia Capital and other PE firms,Financial Services (Microfinance),NA,PE Investment,NA,Financial Services,Bain-IVCA India Private Equity Report 2010,2010
NA,Shriram Capital Limited,TPG Capital,Financial Services,100,PE Investment,NA,Financial Services,Bain-IVCA India Private Equity Report 2010,2010
NA,Shriram Group retail holdings subsidiary and consumer finance arm,TPG Capital,Financial Services,NA,PE Investment (stake acquisition),NA,Financial Services,Bain-IVCA India Private Equity Report 2010,2010
NA,Shriram Holdings (Madras),TPG India Investments (TPG Capital),Financial Services,100,PE Investment,NA,Financial Services,Bain-IVCA India Private Equity Report 2010,2010
NA,GMR Group / GMR Energy,IDFC Private Equity,Infrastructure,22,PE Investment (first tranche; two additional tranches followed incl. Delhi International Airport construction),15%,Infrastructure,Bain-IVCA India Private Equity Report 2010,2010
NA,Bharti Tele-Ventures,NA (buyer: public market/undisclosed; seller: Warburg Pincus),Telecom,NA,PE Exit (sale of stake),NA,Technology,Bain-IVCA India Private Equity Report 2010,2010
NA,Bharti Tele-Ventures (Bharti Airtel),Warburg Pincus,Telecom,290,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2010,2010
NA,Bharti Tele-Ventures (Bharti Airtel),CVC International,Telecom,210,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2010,2010
NA,Bharti Tele-Ventures (Bharti Airtel),Temasek Holdings,Telecom,2000,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2010,2010
NA,Idea Cellular,Providence Equity Partners,Telecom,640,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2010,2010
NA,MTR Foods Limited,Orkla Foods AS (Norway),Consumer: Foods,NA,Acquisition (whole or part),NA,Consumer Products and Retail,KPMG Doing Deals Successfully in India,2013
NA,Paras Pharmaceuticals Ltd,Reckitt Benckiser Group Plc (UK),Consumer: Other,NA,Acquisition (whole or part),NA,Consumer Products and Retail,KPMG Doing Deals Successfully in India,2013
NA,Geojit Financial Services Ltd,BNP Paribas SA (France),Financial Services,NA,Acquisition (whole or part),NA,Financial Services,KPMG Doing Deals Successfully in India,2013
NA,Andhra Pradesh Paper Mills Limited,International Paper Company (USA),Manufacturing (other),NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
Oct-2007,Biocon Limited (enzymes operations),Novozymes South Asia Pvt Ltd (Denmark),Chemicals and materials,NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Camlin Limited,"Kokuyo S&T Co., Ltd (Japan)",Manufacturing (other),NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Fisher Sanmar Limited,Emerson Process Management (USA),Industrial automation,NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Indian Steel Corporation Limited,"Mitsui & Co., Ltd. (Japan)",Industrial products and services,NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Tata Refractories Ltd,Krosaki Harima Corporation (Japan),Industrial products and services,NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Voltas Limited (Materials Handling business),SM Materials Handling Solutions Private Limited (Germany),Automotive,NA,Acquisition (whole or part),NA,Industrials and Auto,KPMG Doing Deals Successfully in India,2013
NA,Wockhardt (animal care subsidiary),Vetoquinol SA (France),Medical: Pharmaceuticals,NA,Acquisition (whole or part),NA,Lifesciences,KPMG Doing Deals Successfully in India,2013
NA,Indo Asian Fusegear (Switchgear Business),Legrand SA (France),Industrial: Electronics,NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
NA,Kale Consultants Ltd.,Accelya (Spain),Computer software,NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
NA,Laserwords Private Limited,SPI Technologies Inc. (Philippines),Computer services,NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
NA,Lifetree Convergence Ltd.,Tecnotree Oyj (formerly Tecnomen Oyj) (Finland),Computer software,NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
NA,Tata Teleservices Limited / Tata Teleservices (Maharashtra) Limited,"NTT DoCoMo, Inc. (Japan)",Telecommunications: Carriers,NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
NA,Intelenet Global Services Pvt. Ltd.,Serco Group Plc (UK),Services (other),NA,Acquisition (whole or part),NA,Technology,KPMG Doing Deals Successfully in India,2013
November 2014,Hero MotoCorp,NA (public market buyback; exiting fund: Bain Capital),Manufacturing / Auto,400,PE Exit - Public market buyback,NA (public trade of stake),Industrials and Auto,Bain-IVCA India Private Equity Report 2015,2015
June 2014,Hero MotoCorp,NA (public market; exiting fund: Bain Capital),Manufacturing / Auto,250,PE Exit - Public market,NA,Industrials and Auto,Bain-IVCA India Private Equity Report 2015,2015
NA,Mahindra & Mahindra,NA (public market; exiting fund: Goldman Sachs),Manufacturing / Auto,278,PE Exit - Public market,NA,Industrials and Auto,Bain-IVCA India Private Equity Report 2015,2015
NA,Galaxy Mercantiles and BlueRidge SEZ,NA (secondary sale; exiting fund: IDFC PE),Real Estate,178,PE Exit - Secondary sale,NA,Infrastructure,Bain-IVCA India Private Equity Report 2015,2015
NA,Jaiprakash Power Ventures,"IDFC Private Equity, PSP Investments",Energy / Infrastructure,316,PE Investment,NA,Infrastructure,Bain-IVCA India Private Equity Report 2015,2015
NA,L&T IDPL,"CDPQ, CPPIB, State General Reserve Fund (SGRF)",Infrastructure,323,PE Investment,NA,Infrastructure,Bain-IVCA India Private Equity Report 2015,2015
NA,Petronet LNG,NA (public market; exiting fund: Asian Development Bank),Energy,117,PE Exit - Public market,NA,Infrastructure,Bain-IVCA India Private Equity Report 2015,2015
NA,Unitech Corporate Parks,Brookfield,Real Estate,581,PE Investment,NA,Infrastructure,Bain-IVCA India Private Equity Report 2015,2015
NA,Intas Pharmaceuticals,NA (secondary sale; exiting fund: ChrysCapital),Healthcare / Pharma,147,PE Exit - Secondary sale,NA,Lifesciences,Bain-IVCA India Private Equity Report 2015,2015
NA,Flipkart,"Naspers, Tiger Global Mgmt, Accel Partners, Morgan Stanley Investment Mgmt, DST Advisors, GIC, Sofina, Iconiq Capital",Consumer Technology / E-commerce,1000,PE/VC Investment,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Flipkart,"Qatar Investment Authority, DST Advisors, Greenoaks Ventures, GIC, Iconiq Capital, Tiger Global, Steadview Capital, T. Rowe Price, Baillie Gifford & Co.",Consumer Technology / E-commerce,700,PE/VC Investment,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Idea Cellular,NA (public market; exiting fund: Providence),Telecom,234,PE Exit - Public market,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Myntra,"NA (strategic sale; exiting funds: Kalaari Capital, IDG Ventures, Accel Partners, Tiger Global, PremjiInvest, others)",Consumer Technology / E-commerce,240,PE Exit - Strategic sale,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Olacabs,Steadview Capital,Consumer Technology,210,PE/VC Investment (new fund investing for first time in India),NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Snapdeal.com,"BlackRock, Tybourne Capital Mgmt, Temasek, SoftBank, PI Opportunities Fund I, Myriad Asset Mgmt",Consumer Technology / E-commerce,636,PE/VC Investment,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Snapdeal.com,Saama Capital,Consumer Technology,134,PE/VC Investment (new fund investing for first time in India),NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Kotak Mahindra Bank,Canada Pension Plan Investment Board (CPPIB),BFSI,376,PIPE,NA,Financial Services,Bain-IVCA India Private Equity Report 2015,2015
NA,Minacs,"CX Partners, others",IT & ITES / BPO,260,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Shriram Capital,Piramal Enterprises,BFSI,334,PE Investment,NA,Financial Services,Bain-IVCA India Private Equity Report 2015,2015
NA,Sutherland Global Services,TPG Capital,IT & ITES / BPO,300,PE Investment,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
NA,Sutherland Global Services,"NA (secondary sale; exiting funds: StanChart PE, Oak Investment Partners)",IT & ITES / BPO,300,PE Exit - Secondary sale,NA,Technology,Bain-IVCA India Private Equity Report 2015,2015
2016,Jasper Infotech Pvt. Ltd. (Snapdeal.com),"Ontario Teachers Pension Plan, Bennett Coleman and Co. Ltd.",Consumer Discretionary,200,Investment,NA,Consumer Products and Retail,KPMG Private Equity Review - 2016,2016
2016,Parag Milk Foods Ltd.,NA (IPO - public listing),Consumer / Foods,NA,IPO,NA,Consumer Products and Retail,KPMG Private Equity Review - 2016,2016
2016,Equitas Holdings Limited,NA (IPO - public listing),Financials (Microfinance),NA,IPO,NA,Financial Services,KPMG Private Equity Review - 2016,2016
2016,Ujjivan Financial Services Ltd.,NA (IPO - public listing),Financials (Microfinance),NA,IPO,NA,Financial Services,KPMG Private Equity Review - 2016,2016
2013,Alliance Tire Group,KKR,Automotive,470,"PE Buyout (original 2013 stake purchase, cited in 2016 report)",90%,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,Alliance Tire Group B.V.,Yokohama Rubber Co. Ltd.,Automotive,1179,M&A Exit (Inbound); seller: KKR India,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
28-Mar-2016,Bangalore International Airport Ltd.,"Fairfax India, Fairfax Financial",Industrials,370,Investment,38%,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,Dilip Buildcon Ltd.,NA (IPO - public listing),Construction,NA,IPO,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,Endurance Technologies Ltd.,NA (IPO - public listing),Auto Components,NA,IPO,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,International Tractors Ltd.,Yanmar Company Ltd.,Auto,235,M&A Exit (Inbound); seller: Blackstone,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
12-Jul-2016,Privi Organics Ltd.,Fairfax India Holdings Corporation,Chemicals,55,Investment,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,S.P. Apparels Ltd.,NA (IPO - public listing),Textiles,NA,IPO,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
20-Jul-2016,SBI Asset Reconstruction,Brookfield Asset Management Inc.,Financials (Asset Reconstruction),1045,Investment,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
19-Oct-2016,TVS Logistics Services Ltd.,Quebec Deposit and Investment Fund (CDPQ),Logistics,155,Investment,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,Towercom Infrastructure Pvt. Ltd.,Brookfield Asset Management Inc.,Industrials,1610,Buyout,51%,Industrials and Auto,KPMG Private Equity Review - 2016,2016
30-Sep-2016,Azure Power Global Ltd.,Quebec Deposit and Investment Fund (CDPQ),Power / Renewable Energy,88,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Essel Highways,Goldman Sachs,Infrastructure (Roads),250,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Godrej Properties (Residential),APG,Real Estate (Residential),275,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Greenko Energy Holdings,"Abu Dhabi Investment, GIC",Utilities,230,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Hero Future Energies,International Finance Corporation (IFC),Renewable Energy / Infrastructure,125,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
6-Oct-2016,Hiranandani Developers Pvt. Ltd. (Commercial Real Estate Portfolio),Brookfield Asset Management Inc.,Real Estate,1000,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Lodha Group (Residential),Piramal Fund,Real Estate (Residential),347,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,"Lodha Group, World One",NA,Real Estate,224,M&A Exit (Domestic); seller: HDFC Property Fund,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Tata Housing (Residential),Macquarie,Real Estate (Residential),210,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Virtuous Retail South Asia,"Xander, APG",Real Estate (Commercial),450,Investment,NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,Advanced Enzyme Technologies Ltd.,NA (IPO - public listing),Pharma / Enzymes,NA,IPO,NA,Lifesciences,KPMG Private Equity Review - 2016,2016
2016,Gland Pharma Ltd.,Shanghai Fosun Pharmaceutical,Pharma,577,M&A Exit (Inbound); seller: KKR India / Gland Celsus,NA,Lifesciences,KPMG Private Equity Review - 2016,2016
2016,Healthcare Global Enterprises,NA (IPO - public listing),Healthcare,NA,IPO,NA,Lifesciences,KPMG Private Equity Review - 2016,2016
2016,Laurus Labs Ltd.,NA (IPO - public listing),Pharma,NA,IPO,NA,Lifesciences,KPMG Private Equity Review - 2016,2016
2016,Thyrocare Technologies,NA (IPO - public listing),Healthcare Diagnostics,NA,IPO,NA,Lifesciences,KPMG Private Equity Review - 2016,2016
2016,Bharti Telecom Ltd.,Singapore Telecommunications Ltd.,Electronics / Telecom,657,M&A Exit (Inbound); seller: Temasek Holdings,NA,Technology,KPMG Private Equity Review - 2016,2016
2016,Mphasis Ltd.,Blackstone Advisors India,Information Technology,825,Buyout,60%,Technology,KPMG Private Equity Review - 2016,2016
2016,Quick Heal Technologies,NA (IPO - public listing),IT / Software,NA,IPO,NA,Technology,KPMG Private Equity Review - 2016,2016
2016/2017,Essar Oil,Rosneft,Oil & Gas,13000,Strategic Sale (seller: Essar Group),NA,Infrastructure,KPMG Private Equity Review - 2016,2016
2016,GE Capital Services India,"AION India, Pramod Bhasin, Anil Chawla",Financials,330,Buyout,100%,Financial Services,KPMG Private Equity Review - 2016,2016
2016,Janalakshmi Financial Services,"TPG, GIC, QRG Enterprises, Morgan Stanley PE, Havells India",Financials,210,Investment,20%,Financial Services,KPMG Private Equity Review - 2016,2016
29-Sep-2016,Kotak Mahindra Bank Ltd.,Canada Pension Plan Investment Board,Financials,190,Investment,0.88%,Financial Services,KPMG Private Equity Review - 2016,2016
1-Mar-2016,Kotak Mahindra Bank Ltd. (second tranche),Canada Pension Plan Investment Board,Financials,168,Investment,NA,Financial Services,KPMG Private Equity Review - 2016,2016
2016,Minacs Pvt. Ltd.,Synnex Corporation,IT,420,M&A Exit (Inbound); seller: Capital Square / CX Capital,NA,Technology,KPMG Private Equity Review - 2016,2016
2016,National Stock Exchange of India Ltd.,"ChrysCapital Investment Advisors India, Life Insurance Corp. of India, Ward Ferry Management",Financials,194,Investment,NA,Financial Services,KPMG Private Equity Review - 2016,2016
2016,RBL Bank Ltd.,NA (IPO - public listing),Financials,NA,IPO,NA,Financial Services,KPMG Private Equity Review - 2016,2016
2016,SBI Life Insurance Company Ltd.,"Temasek Holdings Advisors, KKR India Advisors",Financials,266,Investment,3.9%,Financial Services,KPMG Private Equity Review - 2016,2016
21-Apr-2016,Sanmar Engineering Services Ltd.,Fairfax India Holdings Corporation,NA,250,Investment,NA,Industrials and Auto,KPMG Private Equity Review - 2016,2016
2016,TeamLease Services Ltd.,NA (IPO - public listing),Business Services,NA,IPO,NA,Unclassified,KPMG Private Equity Review - 2016,2016
NA,British Brewing Company Pvt. Ltd.,NeoMile Capital,FMCG,14,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,DFM Foods Ltd.,Advent International,FMCG,120,PE Investment,68%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Drums Food International Pvt. Ltd.,"Danone Manifesto Ventures, Verlinvest, DSG Consumer Partners and angel investors",FMCG,26,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Flipkart Online Services Pvt. Ltd. (additional stake),Walmart Inc.,Retail,76,M&A - Inbound,0.3%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Future Coupons Ltd.,Amazon Inc.,Retail,214,M&A - Inbound,49%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Gokaldas Intimatewear Pvt. Ltd.-Enamor,Advent International,Retail,45,PE Investment,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Hamleys Global Holdings Ltd.,Reliance Industries Ltd.,Retail,89,M&A - Outbound,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Innovative Retail Concepts Pvt. Ltd.-BigBasket.com,"Mirae Asset Financial Group, CDC Group and Alibaba Group",Retail,150,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Lenskart Solutions Private limited-Lenskart.com,Softbank Vision Fund,Retail,275,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Nature's Basket Ltd.,Spencer's Retail Ltd.,Retail,43,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Nature's Essence Pvt. Ltd.,Samara Capital,FMCG,29,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,One97 Communications Ltd.-Paytm,"T Rowe Price, Alibaba's Ant Financial, SoftBank Vision Fund, and Discovery Capital",E-commerce,1000,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,QwikCilver Solutions Pvt. Ltd.,Pine Labs Pvt. Ltd.,Retail,110,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Ruchi Soya Industries Limited,Patanjali Ayurved Ltd.,Retail and consumer,613,M&A - Domestic (IBC),100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Witzig Advisory Services Private Ltd.,Amazon Inc.,Retail,294,M&A - Inbound,49%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Zomato Media Pvt. Ltd.-UAE business unit,Delivery Hero SE,Foodtech,172,M&A - Inbound,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Aadhaar Housing Finance Ltd.,Blackstone Group Inc.,Financial services,310,PE Investment,70%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Aditya Birla Capital Ltd.,"Grasim Industries Limited, Surya Kiran Investments Pte Limited, IGH Holdings Private Limited, Pilani Investment and Industries Corporation Limited, PI Opportunities Fund-I, Jomei Investments Limited",Financial services,296,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Apollo Munich Health Insurance Co. Ltd.,HDFC Ltd,Insurance and TPAs,195,M&A - Domestic,51%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Chaitanya Rural Intermediation Development Services Pvt. Ltd.,BAC Acquisitions Pvt. Ltd.-BACQ,NBFC,104,M&A - Domestic,NA,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,DMI Finance Pvt. Ltd. (2019 round),New Investment Solutions,NBFC,230,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,ECL Finance Ltd.,Caisse de dépôt et placement du Québec,NBFC,250,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Gruh Finance Ltd,Bandhan Bank Ltd,Financial Services,3000,M&A,100,Financial Services,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Indiabulls Housing Finance Ltd,Lakshmi Vilas Bank Ltd,Financial Services,4100,M&A,100,Financial Services,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Madura Micro Finance Ltd.,CreditAccess Grameen Ltd.,NBFC,123,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,PolicyBazaar-eTechAces Marketing and Consulting Pvt. Ltd.,Tencent Holdings Ltd.,Fintech,150,PE Investment,10%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Reliance Nippon Life Asset Management Limited,Nippon Life Insurance Co. Ltd. and other existing investors,Banking and financial services,860,M&A - Inbound,43%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,SBI General Insurance Company Ltd.,Warburg Pincus and Premji Invest,Insurance and TPAs,432,PE Investment,26%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Sundaram BNP Paribas Home Finance Ltd.,Sundaram Finance Ltd.,Banking,145,M&A - Domestic,50%,Financial Services,Grant Thornton Dealtracker 2019,2019
NA,Bhushan Power and Steel Ltd,JSW Steel Ltd,Metals,2700,M&A,100,Industrials and Auto,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Delhivery-SSN Logistics Pvt. Ltd.,"SoftBank Group Corp, Carlyle Group and Fosun International","Travel, transport and logistics",413,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2019,2019
NA,Essar Steel India Limited,ArcelorMittal India Private Limited,Manufacturing,7246,M&A - Domestic (IBC),100%,Industrials and Auto,Grant Thornton Dealtracker 2019,2019
