timestamp,symbol,name,outcome,detail
2026-07-22T03:42:20,ORIENTELEC,Orient Electric Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:43:22,ORIENTPPR,Orient Paper & Industries Limited,generated,
2026-07-22T03:43:27,OSWALPUMPS,OSWAL PUMPS LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:43:32,PACEDIGITK,Pace Digitek Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:43:37,PAGEIND,Page Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:44:08,PCBL,PCBL Chemical Limited,generated,
2026-07-22T03:44:14,PENIND,Pennar Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:45:08,PERSISTENT,Persistent Systems Limited,generated,
2026-07-22T03:45:12,PFIZER,Pfizer Limited,generated,
2026-07-22T03:45:17,PGIL,Pearl Global Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:45:22,PHOENIXLTD,The Phoenix Mills Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:45:27,PIIND,PI Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:46:00,PINELABS,PINE LABS LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:47:02,PITTIENG,Pitti Engineering Limited,generated,
2026-07-22T03:47:07,PIXTRANS,PIX Transmissions Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:47:13,PLASTIBLEN,Plastiblends India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:47:18,POWERICA,POWERICA LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:47:51,PPAP,PPAP Automotive Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:48:52,PPLPHARMA,Piramal Pharma Limited,generated,
2026-07-22T03:48:58,PRAKASHSTL,Prakash Steelage Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:49:03,PRECWIRE,Precision Wires India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:49:07,PRINCEPIPE,Prince Pipes and Fittings Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:49:39,PROTEAN,Protean eGov Technologies Limited,generated,
2026-07-22T03:49:44,PTC,PTC India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:49:50,PTCIL,PTC Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:49:55,PURVA,Puravankara Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:50:28,PYRAMID,Pyramid Technoplast Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:51:30,QUADFUTURE,QUADRANT FUTURE TEK LTD,generated,
2026-07-22T03:51:33,RAMAPHO,Rama Phosphates Limited,generated,
2026-07-22T03:51:38,RAMCOCEM,The Ramco Cements Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:51:43,RAMKY,Ramky Infrastructure Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:51:49,RAYMOND,Raymond Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:52:20,REDINGTON,Redington Limited,generated,
2026-07-22T03:52:25,REGENCERAM,Regency Ceramics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:52:30,RELIGARE,Religare Enterprises Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:52:35,RELTD,Ravindra Energy Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:53:09,REMSONSIND,Remsons Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:54:10,RETAIL,JHS Svendgaard Retail Ventures Limited,generated,
2026-07-22T03:54:16,RHL,Robust Hotels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:54:21,RMC,RMC Switchgears Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:54:26,RMDRIP,R M DRIP & SPRINK SYS LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T03:54:57,ROUTE,Route Mobile Limited,generated,
2026-07-22T03:55:02,RPEL,Raghav Productivity Enhancers Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:55:08,RPGLIFE,RPG Life Sciences Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:55:13,RPTECH,Rashi Peripherals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:55:46,RSL,RAJPUTANA STAINLESS LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T03:56:48,RUBICON,RUBICON RESEARCH LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:58:49,RVHL,Ravinder Heights Limited,generated,
2026-07-22T03:58:53,S&SPOWER,S&S Power Switchgear Limited,generated,
2026-07-22T03:58:56,SAATVIKGL,Saatvik Green Energy Limited,generated,
2026-07-22T03:59:02,SAIPARENT,SAI PARENTERALS LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T03:59:08,SAKSOFT,Saksoft Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:59:13,SALONA,Salona Cotspin Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T03:59:46,SAMBHV,SAMBHV STEEL TUBES LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T04:00:48,SANOFI,Sanofi India Limited,generated,
2026-07-22T04:00:53,SANOFICONR,SANOFI CONS HEALTHC IND L,failed,all providers returned nothing (or unparseable)
2026-07-22T04:00:58,SANSERA,Sansera Engineering Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:01:03,SATIN,Satin Creditcare Network Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:01:35,SAYAJIHOTL,Sayaji Hotels Limited,generated,
2026-07-22T04:01:40,SBGLP,Suratwwala Business Group Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:01:46,SBILIFE,SBI Life Insurance Company Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:01:51,SCHNEIDER,Schneider Electric Infrastructure Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:02:24,SCODATUBES,Scoda Tubes Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:03:36,SECURKLOUD,SecureKloud Technologies Limited,generated,
2026-07-22T04:03:40,SEDEMAC,SEDEMAC MECHATRONICS LTD,generated,
2026-07-22T04:03:45,SEIL,Shanti Educational Initiatives Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:03:51,SEPC,SEPC Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:03:56,SHAH,Shah Metacorp Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:05:12,SHAHALLOYS,Shah Alloys Limited,generated,
2026-07-22T04:05:16,SHAILY,Shaily Engineering Plastics Limited,generated,
2026-07-22T04:05:22,SHANTIGEAR,Shanthi Gears Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:05:27,SHARDAMOTR,Sharda Motor Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:05:32,SHARDUL,Shardul Securities Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:06:13,SHILPAMED,Shilpa Medicare Limited,generated,
2026-07-22T04:06:16,SHIVATEX,Shiva Texyarn Limited,generated,
2026-07-22T04:06:21,SHOPERSTOP,Shoppers Stop Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:06:26,SHREDIGCEM,Shree Digvijay Cement Company Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:06:32,SHRIRAMPPS,Shriram Properties Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:07:05,SIEMENS,Siemens Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:08:07,SIGNPOST,Signpost India Limited,generated,
2026-07-22T04:08:12,SIKA,Sika Interplant Systems Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:08:17,SIKKO,Sikko Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:08:22,SILVERTUC,Silver Touch Technologies Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:08:56,SINDHUTRAD,Sindhu Trade Links Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:09:57,SINGERIND,Singer India Limited,generated,
2026-07-22T04:10:02,SINTERCOM,Sintercom India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:10:07,SJVN,SJVN Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:10:12,SKIPPER,Skipper Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:11:42,SKYGOLD,Sky Gold and Diamonds Limited,generated,
2026-07-22T04:11:45,SNOWMAN,Snowman Logistics Limited,generated,
2026-07-22T04:11:49,SOBHA,Sobha Limited,generated,
2026-07-22T04:11:54,SOMANYCERA,Somany Ceramics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:11:59,SONACOMS,Sona BLW Precision Forgings Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:12:04,SOUTHWEST,South West Pinnacle Exploration Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:12:37,SPAL,S.P. Apparels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:13:39,SPCENET,Spacenet Enterprises India Limited,generated,
2026-07-22T04:13:44,SPLIL,SPL Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:13:49,SPLPETRO,Supreme Petrochem Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:13:54,SPMLINFRA,SPML Infra Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:14:26,SRF,SRF Limited,generated,
2026-07-22T04:14:31,STARTECK,Starteck Finance Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:14:36,STEELCAS,Steelcast Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:14:41,STYLAMIND,Stylam Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:15:14,STYRENIX,Styrenix Performance Materials Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:16:17,SUDEEPPHRM,SUDEEP PHARMA LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T04:18:19,SULA,Sula Vineyards Limited,generated,
2026-07-22T04:18:23,SUNDRMFAST,Sundram Fasteners Limited,generated,
2026-07-22T04:18:26,SUNDROP,Sundrop Brands Limited,generated,
2026-07-22T04:18:31,SUPRAJIT,Suprajit Engineering Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:18:36,SURAJEST,SURAJ ESTATE DEVELOPERS L,failed,all providers returned nothing (or unparseable)
2026-07-22T04:18:41,SURAKSHA,SURAKSHA DIAGNOSTIC LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T04:19:14,SURYALAXMI,Suryalakshmi Cotton Mills Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:20:16,SUVIDHAA,Suvidhaa Infoserve Limited,generated,
2026-07-22T04:20:21,SUYOG,Suyog Telematics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:20:26,SWIGGY,SWIGGY LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T04:20:31,SWSOLAR,Sterling and Wilson Renewable Energy Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:21:03,SYRMA,Syrma SGS Technology Limited,generated,
2026-07-22T04:21:08,TAALTECH,TAAL Tech Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:21:13,TANLA,Tanla Platforms Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:21:18,TARIL,TRANS & RECTI. LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T04:21:51,TATACONSUM,Tata Consumer Products Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:22:53,TATAELXSI,Tata Elxsi Limited,generated,
2026-07-22T04:22:58,TCI,Transport Corporation of India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:23:03,TCIEXP,TCI Express Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:23:08,TDPOWERSYS,TD Power Systems Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:23:41,TIMKEN,Timken India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:24:46,TINNARUBR,Tinna Rubber and Infrastructure Limited,generated,
2026-07-22T04:24:50,TIPSFILMS,Tips Films Limited,generated,
2026-07-22T04:24:55,TITAGARH,Titagarh Rail Systems Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:25:00,TMPV,Tata Motors Passenger Vehicles Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:25:04,TNPETRO,Tamilnadu Petroproducts Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:25:36,TORNTPHARM,Torrent Pharmaceuticals Limited,generated,
2026-07-22T04:25:41,TOTAL,Total Transport Systems Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:25:46,TRANSPEK,Transpek Industry Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:25:51,TREEHOUSE,Tree House Education & Accessories Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:26:24,TRIDENT,Trident Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:27:26,TRUALT,TRUALT BIOENERGY LIMITED,generated,
2026-07-22T04:27:31,TSFINV,TSF Investments Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:27:36,TTKHLTCARE,TTK Healthcare Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:27:41,TVTODAY,T.V. Today Network Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:28:13,UCAL,UCAL Limited,generated,
2026-07-22T04:28:18,UCOBANK,UCO Bank,failed,all providers returned nothing (or unparseable)
2026-07-22T04:28:23,UDS,Updater Services Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:28:28,UGARSUGAR,The Ugar Sugar Works Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:29:01,UJJIVANSFB,Ujjivan Small Finance Bank Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:30:03,UMIYA-MRO,Umiya Buildcon Limited,generated,
2026-07-22T04:30:08,UNICHEMLAB,Unichem Laboratories Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:30:13,UNIVCABLES,Universal Cables Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:30:18,UNOMINDA,Uno Minda Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:31:18,UPL,UPL Limited,generated,
2026-07-22T04:31:22,UYFINCORP,U. Y. Fincorp Limited,generated,
2026-07-22T04:31:27,V2RETAIL,V2 Retail Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:31:32,VADILALIND,Vadilal Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:31:37,VBL,Varun Beverages Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:32:10,VERANDA,Veranda Learning Solutions Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:33:12,VESUVIUS,Vesuvius India Limited,generated,
2026-07-22T04:33:17,VGL,VARVEE GLOBAL LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T04:33:22,VIKASLIFE,Vikas Lifecare Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:33:28,VIKRAMSOLR,VIKRAM SOLAR LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T04:33:59,VIKRAN,VIKRAN ENGINEERING LTD,generated,
2026-07-22T04:34:04,VINDHYATEL,Vindhya Telelinks Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:34:09,VISL,VEDANTA IRON AND STEEL L,failed,all providers returned nothing (or unparseable)
2026-07-22T04:34:14,VIVIDHA,Visagar Polytex Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:34:48,VMM,VISHAL MEGA MART LIMITED,failed,all providers returned nothing (or unparseable)
2026-07-22T04:35:49,VRAJ,VRAJ IRON AND STEEL LTD,generated,
2026-07-22T04:35:54,VRLLOG,VRL Logistics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:35:59,VSSL,Vardhman Special Steels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:36:04,VSTTILLERS,V.S.T. Tillers Tractors Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:36:36,WALCHANNAG,Walchandnagar Industries Limited,generated,
2026-07-22T04:36:41,WELSPUNLIV,Welspun Living Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:37:41,WENDT,Wendt (India) Limited,generated,
2026-07-22T04:37:45,WINDLAS,Windlas Biotech Limited,generated,
2026-07-22T04:37:50,WINDMACHIN,Windsor Machines Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:37:55,WOCKPHARMA,Wockhardt Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:38:00,WORTHPERI,Worth Peripherals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:38:34,WSI,W.S. Industries (India) Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:39:35,XCHANGING,Xchanging Solutions Limited,generated,
2026-07-22T04:39:41,ZEEMEDIA,Zee Media Corporation Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:39:46,ZENITHSTL,Zenith Steel Pipes & Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:39:51,ZODIACLOTH,Zodiac Clothing Company Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:40:22,ZUARIIND,Zuari Industries Limited,generated,
2026-07-22T04:40:27,MTARTECH,MTAR Technologies Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:40:33,GANGAFO-RE,GANGA FORGING LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T04:40:38,SUMEET-RE,SUMEET INDUSTRIES LTD,failed,all providers returned nothing (or unparseable)
2026-07-22T04:41:11,ABAN,Aban Offshore Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:42:13,AASTHA,AASTHA SPINTEX LIMITED,generated,
2026-07-22T04:42:18,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:42:23,AARTECH,Aartech Solonics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:42:28,ABANSENT,ABans Enterprises Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:43:01,ACCURACY,Accuracy Shipping Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:44:02,AFIL,AKME FINTRADE (INDIA) LTD,generated,
2026-07-22T04:44:06,AGL,ALLCARGO GLOBAL LIMITED,generated,
2026-07-22T04:44:11,AGRITECH,Agri-tech (India) Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:44:16,AKSHARCHEM,AksharChem (India) Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:44:21,ALKALI,Alkali Metals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:44:53,AMANTA,AMANTA HEALTHCARE LIMITED,generated,
2026-07-22T04:44:58,ANIKINDS,Anik Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:45:03,ARROWGREEN,Arrow Greentech Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:45:08,ARSHIYA,Arshiya Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:45:41,ASMS,Avio Smart Market Stack Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:46:43,AUSOMENT,AuSom Enterprise Limited,generated,
2026-07-22T04:46:48,AVADHSUGAR,Avadh Sugar & Energy Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:46:53,AVG,AVG Logistics Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:46:58,BAFNAPH,Bafna Pharmaceuticals Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:47:32,BANKA,Banka BioLoo Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:48:33,BASML,Bannari Amman Spinning Mills Ltd,generated,
2026-07-22T04:48:38,BGRENERGY,BGR Energy Systems Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:48:44,BHAGERIA,Bhageria Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:48:49,BHAGYANGR,Bhagyanagar India Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:49:20,BHANDARI,Bhandari Hosiery Exports Limited,generated,
2026-07-22T04:49:25,BILVYAPAR,BIL Vyapar Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:50:26,BIRLACABLE,Birla Cable Limited,generated,
2026-07-22T04:50:31,BLACKROSE,Black Rose Industries Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:50:36,BLISSGVS,Bliss GVS Pharma Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:50:42,BLUECOAST,Blue Coast Hotels Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:51:13,BNAGROCHEM,BN Agrochem Limited,generated,
2026-07-22T04:51:18,BROOKS,Brooks Laboratories Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:51:23,BSHSL,Bombay Super Hybrid Seeds Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:51:29,BTTL,Bhilwara Technical Textiles Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:52:02,BYKE,The Byke Hospitality Limited,failed,all providers returned nothing (or unparseable)
2026-07-22T04:53:04,CALSOFT,California Software Company Limited,generated,
2026-07-22T04:53:10,CAPTRUST,Capital Trust Limited,failed,all providers returned nothing (or unparseable)
